Model,Seed,Metric,ER,PR,HER2,experiment,round
finetuned_model,42,balanced_accuracy,0.7421223354958295,0.6926490550276705,0.6140295358649789,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_081515
finetuned_model,42,accuracy,0.8256880733944955,0.7889908256880734,0.7339449541284404,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_151329
finetuned_model,42,auc,0.8430259499536608,0.7819776547979533,0.7744725738396625,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_151329
finetuned_model,42,balanced_accuracy,0.713855421686747,0.6981309387073196,0.5838607594936709,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_151329
finetuned_model,42,accuracy,0.8211009174311926,0.8027522935779816,0.7431192660550459,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250221_001141
finetuned_model,42,auc,0.8458063021316033,0.7841704082698131,0.7608649789029536,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250221_001141
finetuned_model,42,balanced_accuracy,0.7174467099165894,0.7076850788347082,0.6108649789029537,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250221_001141
finetuned_model,42,accuracy,0.8394495412844036,0.7568807339449541,0.7293577981651376,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_082948
finetuned_model,42,auc,0.8682808155699723,0.8157042915317949,0.740084388185654,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_082948
finetuned_model,42,balanced_accuracy,0.7427015755329008,0.665813929205388,0.5806962025316456,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_082948
finetuned_model,42,accuracy,0.8302752293577982,0.7752293577981652,0.7293577981651376,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_183631
finetuned_model,42,auc,0.8971269694161261,0.8303226480108593,0.7764767932489451,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_183631
finetuned_model,42,balanced_accuracy,0.7366774791473587,0.6885767985799311,0.5858649789029536,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_183631
finetuned_model,42,accuracy,0.8394495412844036,0.8027522935779816,0.7247706422018348,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_094027
finetuned_model,42,auc,0.8931881371640409,0.8478646757857367,0.7266877637130802,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_094027
finetuned_model,42,balanced_accuracy,0.7360982391102873,0.7076850788347082,0.5775316455696202,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_094027
finetuned_model,42,accuracy,0.8486238532110092,0.8073394495412844,0.7385321100917431,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_172834
finetuned_model,42,auc,0.8945783132530121,0.8428526678500574,0.785970464135021,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_172834
finetuned_model,42,balanced_accuracy,0.7553290083410564,0.7108697922105043,0.5921940928270042,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_172834
finetuned_model,42,accuracy,0.8348623853211009,0.7889908256880734,0.7385321100917431,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_004556
finetuned_model,42,auc,0.8747683039851715,0.8366920747624517,0.7921940928270043,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_004556
finetuned_model,42,balanced_accuracy,0.7330861909175161,0.6931189307716403,0.5766877637130802,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250220_004556
finetuned_model,42,accuracy,0.8486238532110092,0.8211009174311926,0.7339449541284404,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250219_233035
finetuned_model,42,auc,0.8726830398517147,0.8127806202359822,0.784915611814346,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250219_233035
finetuned_model,42,balanced_accuracy,0.7553290083410564,0.7354599561449306,0.5993670886075949,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,normalize_total;True,normalize_CPM;True,exclude_highly_expressed;True,log1p;True",20250219_233035
finetuned_model,42,accuracy,0.7777777777777778,0.7222222222222222,0.7777777777777778,"Defaults+train_epochs;1,st_PCA;True",20250225_115530
finetuned_model,42,auc,0.7538461538461538,0.8153846153846154,0.71875,"Defaults+train_epochs;1,st_PCA;True",20250225_115530
finetuned_model,42,balanced_accuracy,0.6615384615384616,0.6846153846153846,0.4375,"Defaults+train_epochs;1,st_PCA;True",20250225_115530
finetuned_model,42,accuracy,0.8302752293577982,0.8073394495412844,0.7431192660550459,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_062438
finetuned_model,42,auc,0.8592446709916589,0.8307403153388326,0.7674050632911393,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_062438
finetuned_model,42,balanced_accuracy,0.7366774791473587,0.7309178239532212,0.6056962025316456,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_062438
finetuned_model,42,accuracy,0.8211009174311926,0.7844036697247706,0.7110091743119266,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_035715
finetuned_model,42,auc,0.879286376274328,0.8513104312415162,0.7578059071729958,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_035715
finetuned_model,42,balanced_accuracy,0.7174467099165894,0.684922209460165,0.5473628691983122,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_035715
finetuned_model,42,accuracy,0.8165137614678899,0.7935779816513762,0.7385321100917431,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_134744
finetuned_model,42,auc,0.8754633920296572,0.8409731648741777,0.7728902953586497,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_134744
finetuned_model,42,balanced_accuracy,0.7144346617238184,0.7063276600187951,0.5766877637130802,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_134744
finetuned_model,42,accuracy,0.8211009174311926,0.7752293577981652,0.7155963302752294,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250225_180309
finetuned_model,42,auc,0.8645736793327155,0.8197765479795343,0.7601265822784811,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250225_180309
finetuned_model,42,balanced_accuracy,0.724050046339203,0.6835647906442519,0.5608649789029536,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250225_180309
finetuned_model,42,accuracy,0.8256880733944955,0.7844036697247706,0.7247706422018348,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_161455
finetuned_model,42,auc,0.8743049119555144,0.8310535658348126,0.7363924050632912,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_161455
finetuned_model,42,balanced_accuracy,0.7336654309545876,0.6999582332672027,0.5723628691983123,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_161455
finetuned_model,42,accuracy,0.7935779816513762,0.7752293577981652,0.7018348623853211,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_135146
finetuned_model,42,auc,0.8408248378127896,0.8194632974835544,0.7447257383966245,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,smoothing;True",20250226_135146
